,id,price,price_median,status
5,3353400435,230000.0,260000.0,Comprar
6,9262800171,252000.0,260000.0,Comprar
7,3353401710,227950.0,260000.0,Comprar
8,8159610030,196000.0,260000.0,Comprar
10,7967200060,243000.0,260000.0,Comprar
11,8159610060,233000.0,260000.0,Comprar
12,5066400483,249900.0,260000.0,Comprar
13,3329530200,205000.0,260000.0,Comprar
14,5462100240,196500.0,260000.0,Comprar
15,8856004730,199950.0,260000.0,Comprar
17,3353400860,249900.0,260000.0,Comprar
18,3751600030,100000.0,260000.0,Comprar
23,1311100520,250000.0,260000.0,Comprar
27,3356406510,196440.0,260000.0,Comprar
29,5402100045,189950.0,260000.0,Comprar
30,3751602329,215500.0,260000.0,Comprar
31,3356404330,206000.0,260000.0,Comprar
32,3874000240,210000.0,260000.0,Comprar
35,7967600069,185000.0,260000.0,Comprar
37,3354400060,238000.0,260000.0,Comprar
38,5413200140,213550.0,260000.0,Comprar
39,5556800260,230000.0,260000.0,Comprar
41,303000445,175000.0,260000.0,Comprar
42,8856004400,235000.0,260000.0,Comprar
43,7696600240,165000.0,260000.0,Comprar
46,1687000200,259000.0,260000.0,Comprar
47,2366800055,225000.0,260000.0,Comprar
50,3750605349,210500.0,260000.0,Comprar
55,3751600176,196000.0,260000.0,Comprar
57,3356407665,180000.0,260000.0,Comprar
58,2721049059,225000.0,260000.0,Comprar
59,3356403820,115000.0,260000.0,Comprar
60,5647900930,195000.0,260000.0,Comprar
63,7585000110,201700.0,260000.0,Comprar
64,5515600088,194820.0,260000.0,Comprar
66,1311000600,250000.0,260000.0,Comprar
67,304100090,215000.0,260000.0,Comprar
68,3751603173,212500.0,260000.0,Comprar
71,1311300100,221000.0,260000.0,Comprar
74,1312200080,224000.0,260000.0,Comprar
77,7237590010,214100.0,260000.0,Comprar
82,1311500020,198000.0,260000.0,Comprar
83,5556900080,169000.0,260000.0,Comprar
84,4031000290,195000.0,260000.0,Comprar
85,3329520170,250000.0,260000.0,Comprar
90,6181400470,215000.0,260000.0,Comprar
91,6085000130,230000.0,260000.0,Comprar
98,2214800630,239950.0,260000.0,Comprar
99,3751605432,239950.0,260000.0,Comprar
102,321049090,254000.0,260000.0,Comprar
106,4012800050,175000.0,260000.0,Comprar
111,3329530480,241000.0,260000.0,Comprar
117,7967200290,190000.0,260000.0,Comprar
118,6143600580,184000.0,260000.0,Comprar
119,8856004328,255000.0,260000.0,Comprar
120,4031700210,220000.0,260000.0,Comprar
121,1311400120,160000.0,260000.0,Comprar
123,3750605620,225000.0,260000.0,Comprar
124,2214800110,259900.0,260000.0,Comprar
126,4463400195,170000.0,260000.0,Comprar
130,2616700450,248000.0,260000.0,Comprar
132,5706600150,215000.0,260000.0,Comprar
133,3751600025,139000.0,260000.0,Comprar
134,5066400564,199129.0,260000.0,Comprar
137,3750603940,240000.0,260000.0,Comprar
138,2048000330,214000.0,260000.0,Comprar
141,5556800150,204700.0,260000.0,Comprar
142,302000375,250000.0,260000.0,Comprar
145,9543000945,182500.0,260000.0,Comprar
147,5647900120,250600.0,260000.0,Comprar
